supplier_reliability,demand_level,transport_delay,weather_impact,inventory_level,risk_score,risk_level
57.69,51.98,3.54,0.02,75.73,41.64,1
72.04,80.24,0.26,1.46,46.38,45.11,1
76.22,49.26,1.94,1.49,37.1,37.43,0
35.59,0.0,4.85,0.26,94.15,27.57,0
93.56,57.76,9.2,0.54,28.35,59.3,2
56.77,46.03,6.55,3.06,50.95,52.18,2
70.87,13.42,3.11,0.07,72.9,25.34,0
69.06,16.42,12.0,1.34,92.78,26.08,0
81.59,69.5,1.8,1.51,56.21,34.0,0
83.28,35.35,7.01,2.33,60.55,40.69,1
77.24,31.85,3.21,0.08,42.5,23.23,0
31.53,49.29,11.45,1.76,62.53,64.68,2
45.74,37.12,7.98,0.01,37.0,46.52,1
78.82,52.0,11.59,0.62,44.99,44.11,1
68.98,45.95,1.21,1.39,75.28,27.36,0
74.2,26.0,5.52,4.84,51.33,52.0,2
78.7,39.78,6.71,0.27,78.34,33.07,0
81.93,58.86,6.78,0.37,56.93,35.3,0
85.09,50.84,3.51,2.21,32.62,45.32,1
67.79,48.36,0.06,0.94,83.37,31.66,0
67.77,88.75,1.52,1.95,33.69,50.37,2
66.73,64.62,1.95,10.0,47.96,69.27,2
75.01,67.05,9.55,8.67,56.01,74.09,2
83.44,46.68,9.19,0.87,80.12,40.84,1
79.41,54.4,0.55,1.4,49.47,30.85,0
94.77,41.38,14.96,4.7,41.47,51.92,2
65.82,65.55,1.01,0.19,63.25,27.52,0
95.45,47.79,2.68,1.2,55.72,25.91,0
51.79,54.45,1.21,0.95,50.65,40.29,1
61.84,53.21,9.84,0.7,64.33,46.96,1
37.51,49.64,6.92,10.0,35.93,79.11,2
55.32,100.0,2.18,2.65,25.56,71.84,2
82.24,36.67,5.73,0.98,100.0,23.85,0
70.57,36.49,1.02,3.53,62.08,35.65,0
83.6,63.88,2.41,1.35,63.48,26.08,0
73.59,38.1,2.37,4.12,44.36,53.58,2
46.5,44.17,1.36,0.62,77.95,28.51,0
68.05,28.27,10.45,0.51,49.33,40.19,1
89.56,59.83,5.68,0.57,4.28,50.65,2
73.97,60.09,1.64,1.55,48.66,40.66,1
73.15,43.7,1.39,0.69,54.37,40.12,1
78.35,64.3,0.09,0.32,56.6,35.78,0
43.02,12.84,2.13,10.0,56.02,56.88,2
64.91,35.86,3.74,4.61,47.1,52.44,2
71.53,46.6,1.63,2.02,45.17,44.44,1
62.01,26.55,6.03,4.44,54.04,44.08,1
64.5,15.03,2.65,5.48,27.09,51.49,2
86.98,43.84,1.9,2.25,20.85,38.07,1
46.42,63.88,13.99,1.46,61.96,63.77,2
91.29,75.64,1.52,4.27,62.29,42.75,1
90.86,39.05,2.54,1.68,77.59,23.09,0
88.02,64.66,2.41,0.27,54.89,30.9,0
34.54,62.73,1.38,0.91,36.13,57.37,2
60.81,74.37,1.23,1.18,21.21,43.26,1
87.51,43.0,1.8,5.48,42.2,37.14,0
85.96,14.03,9.98,2.15,68.45,37.76,1
80.62,51.4,7.29,4.16,88.83,41.87,1
65.56,29.72,5.71,2.83,61.08,46.16,1
69.71,35.53,3.05,0.74,35.73,39.05,1
71.08,43.98,3.54,2.54,42.4,36.18,0
51.68,43.22,1.55,0.43,43.03,40.43,1
74.38,52.83,0.39,1.05,51.88,36.39,0
71.62,64.06,2.01,3.28,82.42,40.43,1
71.11,42.65,3.42,1.89,83.98,30.06,0
93.33,57.91,0.3,3.49,56.55,32.97,0
70.38,50.3,0.46,0.59,63.66,28.09,0
71.11,68.71,1.53,2.77,44.05,39.62,1
76.27,46.23,2.29,0.45,25.8,30.76,0
61.72,48.42,2.5,1.58,95.77,34.07,0
85.89,42.51,0.63,1.14,13.55,31.58,0
81.97,46.76,1.28,1.63,23.28,41.3,1
90.24,34.33,1.52,0.29,95.93,12.35,0
77.99,32.35,0.35,0.9,60.33,18.83,0
96.77,65.52,1.97,2.2,37.48,36.27,0
95.44,28.34,0.37,1.64,73.65,28.84,0
77.83,43.62,6.08,1.59,75.46,35.08,0
94.72,70.31,2.44,1.43,33.35,42.96,1
74.89,42.95,1.98,5.76,49.34,46.61,1
59.71,66.57,0.68,5.45,77.52,40.85,1
47.28,38.18,1.28,0.89,43.66,48.03,2
85.7,28.98,1.32,0.87,65.64,21.32,0
81.66,18.1,21.07,1.62,88.5,41.42,1
90.02,76.25,9.02,0.2,12.15,51.1,2
84.36,27.26,0.08,0.72,53.18,21.76,0
46.27,64.94,4.8,0.52,65.23,51.56,2
59.53,30.0,1.48,0.51,24.16,34.89,0
81.68,76.35,0.55,2.04,49.41,53.72,2
97.23,94.14,6.11,0.97,80.89,35.1,0
97.33,16.27,0.71,0.38,45.91,20.74,0
80.31,28.3,2.93,4.37,30.31,32.38,0
70.79,65.46,5.0,4.15,82.62,45.85,1
52.36,60.26,4.04,3.97,68.89,53.4,2
72.97,65.54,19.0,0.99,58.62,58.15,2
62.02,38.52,7.7,0.12,58.03,48.76,2
94.46,89.75,7.44,0.23,80.57,41.88,1
60.0,52.36,2.2,0.65,65.89,35.24,0
66.33,25.66,0.04,0.5,72.91,25.36,0
92.58,44.94,6.63,4.14,46.15,41.56,1
45.74,25.93,30.0,8.59,21.65,111.16,2
83.06,81.82,2.6,3.39,72.44,48.51,2
66.22,36.79,21.17,2.62,82.02,63.1,2
81.24,59.85,0.76,1.78,55.51,38.13,1
91.56,40.59,1.76,2.94,77.76,19.73,0
66.32,37.69,0.94,5.88,53.3,52.3,2
61.5,11.79,3.22,1.84,58.19,31.8,0
45.04,61.96,7.97,0.34,95.05,50.89,2
85.46,75.98,2.08,0.36,54.17,40.29,1
57.22,31.68,11.83,1.75,52.99,57.34,2
94.21,19.1,3.94,0.81,22.6,24.68,0
65.89,66.07,3.13,4.82,73.8,44.14,1
80.9,17.08,7.73,1.89,45.8,48.41,2
43.41,74.39,0.53,2.26,62.94,41.83,1
73.36,31.91,7.43,0.01,53.7,30.92,0
85.34,27.93,1.39,1.38,51.08,26.92,0
66.3,54.97,1.65,1.13,57.65,37.84,1
63.39,29.24,4.57,2.45,59.18,36.73,0
67.72,35.86,11.61,0.96,83.52,44.85,1
62.7,57.08,4.32,7.51,90.4,57.14,2
77.11,1.42,5.23,2.22,73.01,25.93,0
73.64,82.85,7.49,2.16,85.43,46.83,1
28.29,50.87,1.5,5.04,77.08,53.54,2
82.57,24.14,8.78,10.0,69.89,52.97,2
73.9,29.66,2.71,0.44,89.1,14.09,0
79.38,69.83,0.97,3.33,33.83,48.15,2
67.8,62.02,2.15,0.35,46.31,43.85,1
85.81,77.74,1.41,1.22,43.58,39.38,1
43.1,36.35,1.3,0.21,53.97,26.51,0
92.52,55.93,1.66,1.95,73.72,26.0,0
80.45,58.53,1.0,1.26,37.7,42.14,1
63.5,63.91,5.51,1.98,70.06,38.94,1
65.4,72.55,4.34,2.27,48.26,54.52,2
77.25,35.65,5.23,1.93,53.06,35.57,0
85.06,47.72,2.11,0.7,64.01,28.42,0
69.99,37.8,7.34,3.63,93.62,36.38,0
91.66,48.95,0.69,1.6,45.75,24.96,0
74.48,63.97,4.23,1.35,58.4,48.86,2
72.78,16.92,1.61,8.7,38.44,52.94,2
44.42,72.19,3.75,0.67,45.56,56.12,2
91.97,27.22,1.96,1.5,38.25,32.79,0
78.08,43.85,7.82,2.29,64.9,44.53,1
73.53,74.88,11.09,0.27,68.51,54.99,2
66.54,56.56,6.79,0.87,73.74,38.48,1
46.18,56.79,0.97,3.24,44.93,57.78,2
85.57,26.39,1.61,0.54,70.16,27.1,0
76.08,29.12,12.59,1.36,62.26,46.19,1
59.58,68.83,2.87,1.99,58.84,45.41,1
69.67,38.22,14.17,2.22,35.17,52.31,2
64.33,40.1,2.49,2.61,63.07,39.51,1
77.42,69.28,15.16,4.02,63.7,72.57,2
83.36,29.0,13.0,1.0,62.03,36.03,0
63.84,55.38,5.4,2.45,68.0,50.42,2
71.25,50.86,0.04,2.63,73.89,30.86,0
91.68,49.95,2.56,0.71,38.04,31.06,0
65.12,39.63,12.11,6.89,55.67,58.76,2
51.5,38.4,10.82,4.01,70.32,52.58,2
65.8,28.43,1.04,0.68,54.63,32.94,0
46.05,59.65,2.55,2.25,79.19,48.56,2
92.38,36.64,9.02,2.53,61.8,40.13,1
54.05,69.37,4.31,1.13,20.9,53.74,2
95.67,45.51,9.4,3.99,76.79,35.86,0
46.05,28.83,8.76,2.34,57.66,51.17,2
75.45,45.24,11.9,2.15,24.61,55.15,2
75.44,41.78,0.62,0.5,54.95,30.06,0
80.03,70.18,0.78,1.05,34.63,38.8,1
78.9,42.62,0.43,1.14,75.06,23.99,0
70.02,44.48,13.69,2.65,59.28,56.2,2
67.42,78.23,3.22,1.93,41.53,52.44,2
84.1,60.17,0.33,0.18,76.22,31.63,0
80.97,83.25,1.94,0.74,69.17,35.75,0
68.6,75.18,2.16,1.28,55.28,46.34,1
88.71,32.26,8.29,2.67,35.09,52.56,2
74.42,69.8,6.65,2.72,43.15,56.13,2
69.25,80.51,5.85,1.35,42.85,58.74,2
86.54,80.66,0.11,0.25,74.93,26.9,0
84.1,69.76,12.08,0.69,26.38,53.18,2
68.69,69.35,1.21,0.59,59.06,37.41,0
54.36,43.95,4.96,3.04,54.99,48.45,2
81.8,33.25,0.32,0.4,80.71,24.46,0
87.45,42.96,0.43,1.25,64.65,21.69,0
86.5,16.7,0.05,2.22,70.7,19.27,0
55.82,76.86,4.17,6.69,49.49,70.93,2
76.14,44.33,4.96,10.0,35.38,64.69,2
36.72,75.83,0.26,6.11,53.49,62.86,2
56.34,25.37,1.72,2.53,75.54,34.43,0
85.71,71.65,9.53,2.74,75.5,42.63,1
94.26,40.1,0.53,2.85,51.39,23.67,0
83.59,24.31,1.22,3.97,42.79,26.26,0
73.76,82.54,2.76,6.06,38.87,61.07,2
61.35,72.15,9.23,1.18,57.27,59.57,2
56.55,54.24,1.47,1.08,62.73,42.78,1
95.75,50.68,29.28,1.23,89.46,68.78,2
86.19,58.79,2.19,2.16,62.47,42.3,1
57.88,53.89,2.44,2.99,72.28,43.51,1
75.06,34.15,0.65,4.09,44.39,38.02,1
50.48,41.76,5.7,1.22,60.83,52.1,2
72.89,89.21,1.4,0.9,62.8,38.72,1
82.83,100.0,4.96,8.19,57.19,60.73,2
66.66,81.25,1.26,0.53,59.56,39.92,1
75.31,59.56,2.45,0.5,62.52,32.45,0
53.62,43.25,9.71,2.51,69.62,51.9,2
91.83,34.04,6.71,0.4,83.38,21.1,0
87.54,35.35,0.84,1.02,14.69,35.3,0
73.36,38.93,4.68,0.69,82.27,27.17,0
74.98,93.02,4.95,0.37,25.78,60.1,2
90.2,86.13,0.47,1.73,66.18,30.31,0
78.09,64.93,3.13,0.94,100.0,29.15,0
69.95,30.79,1.51,1.24,59.15,28.57,0
49.02,67.86,3.15,0.44,63.6,46.5,1
72.94,45.23,7.5,2.92,53.79,51.86,2
89.96,6.94,0.86,0.76,73.35,14.59,0
42.27,55.74,0.66,0.84,67.24,40.25,1
42.94,33.16,1.57,0.58,46.48,43.37,1
65.42,33.84,15.21,1.14,57.71,57.17,2
65.41,44.99,6.89,1.25,37.63,48.89,2
90.15,40.03,0.1,1.51,57.62,27.3,0
66.07,49.31,2.56,6.86,51.61,56.41,2
76.52,48.35,1.49,4.7,62.73,32.35,0
78.64,12.48,5.08,1.88,45.8,30.94,0
78.74,80.41,3.07,0.08,55.71,42.03,1
85.36,30.33,16.69,1.89,60.18,48.25,2
78.81,30.95,1.24,0.19,61.57,22.66,0
50.7,43.43,4.43,2.48,65.49,47.27,1
66.56,47.83,6.02,0.99,56.52,44.18,1
90.38,79.18,8.73,3.64,44.27,58.35,2
86.06,55.39,2.61,5.71,61.64,39.94,1
74.39,61.33,5.81,1.08,56.42,36.05,0
88.62,55.49,1.81,1.23,80.49,31.01,0
64.94,54.63,2.86,1.78,83.01,32.61,0
74.59,56.19,11.3,0.44,32.56,49.15,2
65.61,11.35,14.97,5.24,72.34,49.74,2
90.0,45.0,6.34,1.13,76.35,37.09,0
67.4,73.25,2.34,0.37,33.08,46.97,1
79.69,100.0,8.58,2.88,71.59,58.54,2
50.18,25.91,0.13,0.49,77.92,30.72,0
88.14,58.46,0.54,0.31,41.01,31.35,0
63.84,38.58,5.41,1.66,55.27,46.76,1
71.84,90.95,1.72,2.23,63.73,40.6,1
82.85,22.92,15.12,1.69,71.41,38.06,1
92.26,62.5,2.86,2.14,40.23,33.84,0
75.06,21.86,2.81,0.25,83.14,23.25,0
65.72,43.63,5.67,1.29,19.41,51.57,2
79.47,49.31,7.3,0.88,86.47,31.98,0
86.67,71.39,3.23,7.25,71.01,49.45,2
85.31,28.46,1.2,0.1,47.56,30.41,0
85.28,63.27,7.42,0.71,77.29,34.21,0
65.33,50.38,1.93,5.69,39.04,53.78,2
88.97,55.46,0.96,8.21,62.3,43.25,1
84.8,69.17,4.99,3.48,64.77,50.58,2
81.95,24.35,0.47,0.16,64.72,22.81,0
76.93,66.21,17.76,1.65,43.21,58.6,2
80.7,38.62,5.0,1.02,50.08,34.19,0
80.82,71.92,21.31,3.28,62.53,61.0,2
74.48,56.69,2.07,0.11,45.47,40.63,1
45.96,45.81,17.74,0.44,65.43,72.52,2
42.57,38.2,0.79,1.34,47.72,30.87,0
81.47,66.47,0.21,0.34,80.0,20.21,0
51.66,75.22,0.17,2.36,91.25,42.04,1
72.82,39.34,3.13,3.44,54.05,40.37,1
85.53,27.34,0.43,2.44,78.41,20.19,0
85.13,63.88,3.59,1.16,55.75,28.88,0
79.63,21.03,1.98,4.21,41.27,38.24,1
72.01,23.89,2.04,0.3,51.49,32.32,0
62.14,28.75,5.05,0.6,61.71,49.52,2
97.96,41.69,0.89,1.34,24.26,37.42,0
82.87,23.27,7.27,0.13,72.51,21.19,0
96.41,11.22,4.36,0.2,61.72,18.52,0
56.34,27.29,12.32,1.01,80.01,47.9,2
46.42,62.85,2.27,5.76,72.16,51.72,2
67.36,24.57,20.29,4.78,62.4,69.74,2
79.34,43.19,4.29,1.25,52.88,39.51,1
79.52,88.93,18.13,0.31,90.46,64.44,2
62.45,49.02,0.14,0.39,100.0,28.72,0
86.59,56.85,6.51,0.95,53.22,41.15,1
62.37,31.08,8.48,0.47,80.85,33.6,0
54.01,93.27,0.27,0.17,45.87,42.32,1
55.2,39.17,4.33,2.24,48.25,46.77,1
72.87,45.44,8.1,1.74,52.28,43.52,1
69.28,76.34,4.12,0.69,73.69,39.92,1
85.6,46.37,0.33,3.02,38.5,41.86,1
48.14,50.96,5.91,2.99,91.0,53.29,2
60.9,44.37,0.31,1.35,78.76,24.74,0
71.49,44.5,8.5,0.2,73.23,37.24,0
86.34,57.41,0.22,5.01,54.12,38.32,1
81.21,61.06,0.74,2.21,76.59,33.79,0
90.29,37.14,1.61,0.57,1.65,24.37,0
56.35,34.68,5.02,1.89,68.82,32.93,0
90.14,37.82,18.72,1.04,63.2,49.87,2
72.6,21.97,0.63,2.02,22.28,39.17,1
71.27,18.19,0.77,1.28,68.13,24.28,0
55.83,55.94,2.3,1.33,71.82,43.0,1
94.24,68.77,9.05,2.66,22.93,55.55,2
58.99,67.42,3.15,1.9,36.26,57.76,2
66.47,2.36,1.94,0.17,100.0,21.41,0
64.59,45.1,4.12,0.14,56.27,33.36,0
77.85,27.96,1.51,0.73,79.51,26.23,0
52.03,52.87,2.56,1.13,82.54,40.3,1
89.5,41.64,2.02,0.64,67.88,37.15,0
69.36,61.84,8.15,2.11,80.34,42.09,1
95.22,49.62,12.9,0.43,17.74,50.14,2
71.93,12.08,7.13,2.44,55.39,31.98,0
80.87,30.66,2.89,2.97,0.0,40.29,1
57.07,50.12,3.51,0.27,25.08,48.25,2
88.87,51.8,0.67,2.1,49.08,33.76,0
95.12,21.89,6.87,6.51,46.69,46.89,1
18.19,19.27,4.54,0.43,60.83,47.67,2
75.48,51.12,11.64,4.8,59.59,56.5,2
68.72,21.93,1.12,1.86,62.67,27.45,0
53.37,16.63,7.13,1.79,63.49,35.76,0
67.46,41.1,5.77,0.11,66.66,32.12,0
67.08,40.23,1.55,2.76,40.82,40.7,1
64.02,32.43,5.5,1.3,45.5,42.3,1
85.76,35.93,12.91,2.55,59.26,50.7,2
71.57,50.28,12.53,3.31,59.57,59.31,2
92.35,35.6,6.36,1.48,38.36,44.55,1
67.64,51.41,0.25,0.61,81.63,23.27,0
80.64,42.39,10.29,0.31,74.5,36.54,0
49.8,53.35,5.36,0.35,42.81,44.33,1
65.44,67.56,1.86,4.03,55.83,55.35,2
51.68,66.78,1.04,0.26,100.0,30.9,0
72.47,75.76,0.62,0.97,63.21,43.69,1
80.73,66.76,0.26,0.81,67.91,38.57,1
67.07,54.77,7.01,4.01,47.82,56.63,2
46.15,41.33,1.34,1.3,53.74,42.47,1
66.31,42.24,0.12,10.0,90.23,48.0,2
74.19,32.44,2.53,2.67,62.27,32.29,0
52.11,50.09,3.29,3.81,58.58,47.45,2
72.66,63.95,0.93,0.21,60.15,33.33,0
48.71,35.49,0.23,0.58,100.0,35.18,0
66.03,49.26,1.05,0.29,60.8,27.44,0
73.41,36.45,5.68,1.25,43.4,41.07,1
60.16,54.19,0.43,2.53,46.89,46.66,1
82.34,39.01,4.05,0.37,75.62,25.5,0
28.98,35.21,0.79,0.28,31.43,47.79,2
73.44,36.4,1.09,1.91,69.01,22.14,0
67.34,60.07,2.5,0.52,45.52,47.39,2
81.09,48.07,0.53,1.31,22.82,42.84,1
81.62,41.43,0.95,0.1,40.4,28.99,0
78.45,55.23,2.15,2.28,60.55,32.69,0
85.42,41.71,2.0,1.56,87.9,28.08,0
38.92,72.53,6.92,2.08,78.27,50.65,2
57.7,30.52,0.39,0.64,54.13,26.67,0
59.89,46.26,9.85,0.65,79.44,43.84,1
90.44,21.9,8.47,3.23,52.86,46.15,1
79.01,43.06,7.26,2.54,30.67,51.36,2
45.02,16.41,1.85,1.73,60.42,32.39,0
76.38,64.93,8.65,1.98,29.88,46.86,1
74.56,65.33,1.01,0.2,75.83,31.01,0
67.64,65.68,0.66,3.88,76.12,42.85,1
44.87,50.58,0.23,2.94,42.4,48.03,2
56.37,32.4,14.01,1.79,62.91,63.12,2
92.1,33.99,1.84,5.02,62.72,32.97,0
96.58,80.6,12.48,0.37,77.44,33.92,0
69.03,78.71,1.59,2.32,35.1,48.1,2
75.57,52.45,11.91,6.59,71.99,62.66,2
74.82,39.69,11.71,0.74,33.66,52.1,2
67.29,77.37,12.86,0.03,75.54,52.54,2
64.12,36.11,3.43,2.66,81.25,33.61,0
49.08,54.58,10.05,0.01,46.61,44.71,1
88.51,77.04,15.06,4.12,84.38,59.14,2
44.29,33.27,1.96,0.12,28.52,40.87,1
95.48,66.58,2.71,2.12,81.99,32.21,0
32.84,60.41,6.35,0.95,88.77,51.85,2
93.33,49.21,1.79,0.45,66.92,30.94,0
61.38,30.13,7.01,4.57,56.09,45.06,1
35.7,35.51,0.38,2.74,66.25,35.88,0
86.49,55.79,3.71,0.83,47.92,33.19,0
74.54,21.53,0.65,0.67,100.0,11.99,0
74.7,52.61,1.74,2.66,48.27,36.23,0
76.87,60.82,1.5,3.62,86.35,43.4,1
70.72,69.7,9.13,2.52,45.18,57.9,2
52.6,22.03,1.08,2.04,91.94,37.92,1
66.19,76.32,8.26,0.52,100.0,42.9,1
71.09,83.91,7.9,3.83,67.72,51.67,2
41.87,58.2,3.45,2.77,65.73,46.91,1
80.62,29.24,1.33,1.46,40.87,35.71,0
64.07,43.44,1.29,1.43,38.49,33.78,0
31.4,49.05,3.13,1.68,65.96,51.34,2
72.23,55.41,0.04,3.52,89.16,31.44,0
68.32,50.44,3.79,2.71,49.04,40.12,1
52.58,55.62,15.26,3.88,100.0,67.66,2
57.57,48.19,0.84,1.42,47.8,37.07,0
45.27,55.3,4.26,1.96,64.59,44.48,1
58.91,40.79,16.32,3.86,64.64,63.33,2
43.46,43.24,9.85,0.53,57.97,49.73,2
63.66,38.48,9.5,1.17,19.12,64.95,2
59.59,88.35,8.63,1.94,47.62,67.77,2
45.68,79.28,1.85,4.93,63.99,55.47,2
90.34,61.11,11.06,0.03,58.08,40.86,1
58.93,76.51,14.18,0.48,72.72,49.27,2
93.01,65.97,3.42,0.53,75.14,30.72,0
61.24,53.63,2.19,0.79,55.2,35.52,0
86.28,19.89,2.67,0.66,40.75,27.04,0
85.57,44.76,2.03,1.78,90.97,15.01,0
89.28,43.3,1.19,4.34,32.89,39.96,1
79.69,27.34,4.82,2.03,48.09,44.1,1
64.94,20.28,4.13,0.55,43.0,34.84,0
83.18,59.85,3.1,3.99,74.93,35.77,0
87.99,56.49,0.5,2.0,86.34,26.11,0
68.21,26.65,7.97,0.49,56.53,37.76,1
69.33,35.08,0.96,0.9,64.6,39.7,1
53.37,73.22,0.61,3.12,68.58,45.63,1
88.0,32.45,4.88,2.69,96.08,20.51,0
31.3,53.42,2.54,1.72,24.53,57.28,2
68.61,46.2,0.31,0.31,74.88,28.21,0
53.84,60.13,2.2,3.25,67.53,49.61,2
75.97,32.88,7.39,0.74,52.58,41.61,1
65.16,51.8,4.78,2.95,66.52,54.42,2
56.6,53.37,2.25,2.09,74.82,37.02,0
66.57,54.6,1.06,0.61,71.66,29.05,0
66.0,51.58,5.0,0.48,100.0,22.51,0
81.75,56.89,10.93,0.28,62.55,47.59,2
78.53,93.84,5.2,0.55,60.54,42.54,1
89.84,100.0,8.38,0.34,56.37,54.66,2
61.29,37.22,3.69,1.92,71.06,34.57,0
73.65,3.64,6.33,1.83,59.36,39.63,1
78.06,61.91,11.33,1.76,60.26,44.24,1
55.25,53.73,7.42,2.05,60.36,56.16,2
93.27,71.22,12.03,3.37,57.31,59.36,2
74.17,55.7,2.82,4.9,47.83,51.21,2
85.51,51.17,11.73,0.52,68.36,36.78,0
73.63,72.58,4.86,1.77,54.3,49.57,2
29.07,75.38,10.2,0.16,72.27,62.02,2
89.28,22.27,0.2,0.26,62.22,8.13,0
62.97,33.67,5.36,2.12,52.27,50.22,2
91.53,47.89,9.42,1.33,91.3,31.99,0
72.83,51.97,0.96,2.84,57.95,45.5,1
88.22,45.48,5.42,1.11,72.46,30.98,0
97.82,58.68,8.71,0.27,46.0,44.79,1
64.64,69.92,1.7,4.11,19.49,52.72,2
71.25,84.45,2.6,0.17,48.66,45.41,1
76.68,61.58,4.21,0.42,17.25,47.03,1
73.97,32.95,3.66,0.65,55.26,30.49,0
51.05,47.05,0.2,10.0,89.37,49.53,2
77.44,48.49,0.52,1.08,41.89,18.65,0
73.32,60.29,0.53,1.39,17.88,39.55,1
77.26,57.76,1.52,2.94,90.01,36.39,0
91.03,91.01,1.41,2.02,50.49,35.54,0
70.62,40.77,6.78,3.68,59.69,40.5,1
58.05,57.7,4.25,1.33,75.77,34.39,0
98.73,97.09,7.22,7.16,70.46,60.35,2
37.57,38.3,0.36,3.19,75.01,37.34,0
86.19,52.9,3.32,1.03,78.01,35.42,0
72.77,31.1,1.96,0.96,25.08,39.94,1
89.45,51.64,9.48,5.3,31.71,58.22,2
88.44,34.4,6.15,2.31,83.42,31.9,0
55.59,70.94,10.17,1.94,44.37,58.49,2
79.81,52.95,0.24,2.84,46.55,33.62,0
62.08,31.29,6.38,1.65,34.74,49.49,2
42.22,66.81,3.88,0.35,51.9,54.91,2
51.32,53.59,8.71,0.77,53.01,55.91,2
77.18,69.06,3.54,1.63,41.25,42.9,1
85.66,27.05,3.88,0.04,38.94,27.24,0
80.28,57.38,0.27,1.15,66.37,25.6,0
59.85,65.47,5.52,2.82,43.85,58.81,2
50.34,41.53,1.6,0.36,47.87,29.19,0
54.01,24.82,0.1,0.13,16.27,26.21,0
83.09,49.17,0.34,3.62,98.76,17.14,0
95.01,74.56,15.77,1.92,78.84,42.11,1
90.74,72.52,2.12,0.39,50.1,41.83,1
86.74,41.43,10.13,3.28,42.02,53.26,2
74.13,24.34,16.05,2.15,60.22,45.26,1
96.73,41.38,14.35,0.81,59.67,42.42,1
46.21,40.63,10.67,0.94,34.48,65.1,2
79.62,58.93,11.26,0.34,8.99,59.29,2
86.45,47.9,1.71,3.61,49.48,48.29,2
47.65,34.93,0.82,1.42,28.73,42.91,1
72.32,72.09,5.1,1.63,63.43,42.08,1
69.28,52.81,3.35,4.3,63.56,40.07,1
68.2,58.71,0.52,0.03,40.54,37.09,0
51.37,15.5,5.66,0.14,49.31,42.12,1
93.35,1.51,4.14,0.35,95.26,10.9,0
67.9,21.25,9.94,0.06,75.5,33.12,0
59.65,40.39,4.7,2.15,50.95,50.71,2
64.44,61.53,4.27,2.01,100.0,40.12,1
71.81,3.16,2.91,0.47,36.06,27.01,0
83.84,81.86,3.11,0.32,43.75,38.2,1
84.89,53.41,15.44,0.31,57.79,49.0,2
87.52,77.21,0.75,6.13,29.38,55.96,2
96.62,32.28,2.95,2.37,95.81,16.37,0
81.5,60.08,5.33,1.76,63.66,34.07,0
93.79,51.7,2.84,0.78,44.2,29.75,0
67.08,66.35,1.66,1.13,68.96,37.76,1
70.32,45.32,1.69,0.19,62.92,37.48,0
71.98,59.46,1.33,10.0,53.91,53.69,2
83.22,72.04,2.11,2.81,35.83,47.21,1
57.06,36.98,10.27,1.94,31.28,54.74,2
85.88,54.84,3.52,1.77,100.0,26.52,0
66.34,12.24,1.37,1.4,32.95,39.84,1
69.47,64.05,2.43,0.6,93.96,31.91,0
62.37,89.09,0.56,0.51,43.1,42.5,1
62.96,25.11,11.72,1.59,75.8,48.24,2
67.58,48.17,2.62,0.15,69.31,36.28,0
76.66,67.61,19.66,0.15,73.31,54.11,2
33.89,50.63,2.14,1.65,74.64,38.91,1
73.65,53.3,9.05,5.05,27.77,63.92,2
88.19,42.18,1.48,4.91,46.47,39.13,1
62.7,41.44,0.4,0.02,32.64,33.32,0
89.33,48.27,0.16,0.23,63.79,28.6,0
81.34,50.83,4.66,1.75,33.53,40.0,1
89.44,26.37,1.87,3.77,20.38,40.03,1
57.45,48.68,2.93,6.18,55.25,59.6,2
74.03,81.37,8.54,3.94,15.82,65.93,2
41.74,41.62,1.43,2.26,65.17,33.5,0
62.26,25.25,1.85,0.45,34.85,32.54,0
87.31,46.97,9.33,0.15,43.19,42.23,1
45.18,35.71,3.39,0.1,14.39,52.84,2
76.36,23.23,8.79,1.89,93.0,29.62,0
51.23,52.78,2.35,0.07,30.74,54.0,2
41.82,35.79,2.54,2.69,52.72,39.9,1
85.63,37.51,0.91,2.49,24.17,37.28,0
78.56,53.07,12.41,0.17,43.29,48.87,2
43.22,19.34,11.35,4.74,95.04,58.48,2
48.47,15.17,20.74,1.48,65.95,53.5,2
77.27,63.42,2.57,4.7,45.53,51.3,2
84.52,11.38,8.54,4.64,59.32,38.8,1
56.02,30.47,2.68,0.44,48.79,43.82,1
83.58,14.0,3.03,0.96,58.15,19.59,0
78.53,40.28,8.86,0.29,74.88,37.62,0
68.84,58.56,0.98,2.98,53.38,38.04,1
87.05,52.25,1.24,1.4,64.4,30.38,0
55.26,97.84,1.89,5.28,64.73,59.13,2
67.88,71.74,7.76,0.47,53.48,47.76,2
62.94,31.38,2.33,2.33,45.28,29.3,0
72.0,26.06,2.22,9.06,49.5,53.07,2
65.4,100.0,30.0,2.19,73.98,85.64,2
47.73,71.25,2.42,0.14,75.65,36.77,0
76.51,61.79,1.42,1.78,37.24,33.84,0
94.52,51.5,4.88,0.4,54.78,26.59,0
78.13,55.47,8.09,0.06,44.94,46.24,1
79.22,20.36,0.36,0.82,76.0,20.96,0
75.28,53.14,4.82,0.62,50.58,42.69,1
91.26,51.42,0.18,3.11,100.0,18.39,0
93.0,31.92,3.74,0.94,64.36,26.23,0
72.61,39.23,1.49,2.64,83.64,27.05,0
69.63,80.3,1.83,0.03,39.71,48.85,2
76.82,47.5,3.15,0.03,60.23,33.71,0
